Id,CaptureTime,ServerName,InstanceName,CpuPercent,BatchRequestsPerSec,UserConnections,BlockedSessions,DeadlocksPerMin,AvgQueryDurationMs,AvgLogicalReads,TempdbUsedMb,SignalWaitTimeMs,PageLifeExpectancy,hour,day_of_week,is_weekend,CpuPercent_diff,BatchRequestsPerSec_diff,UserConnections_diff,BlockedSessions_diff,DeadlocksPerMin_diff,AvgQueryDurationMs_diff,AvgLogicalReads_diff,TempdbUsedMb_diff,SignalWaitTimeMs_diff,PageLifeExpectancy_diff,CpuPercent_rolling_mean_3,CpuPercent_rolling_std_3,BatchRequestsPerSec_rolling_mean_3,BatchRequestsPerSec_rolling_std_3,AvgQueryDurationMs_rolling_mean_3,AvgQueryDurationMs_rolling_std_3,AvgLogicalReads_rolling_mean_3,AvgLogicalReads_rolling_std_3,TempdbUsedMb_rolling_mean_3,TempdbUsedMb_rolling_std_3,SignalWaitTimeMs_rolling_mean_3,SignalWaitTimeMs_rolling_std_3,PageLifeExpectancy_rolling_mean_3,PageLifeExpectancy_rolling_std_3,duration_per_batch,reads_per_batch,signal_wait_per_connection
3,2026-03-28 23:32:17,deweloper,MSSQLSERVER,0.0,12903.0,10,0,0,55.59,5953.07,8.0,184459994.0,1184,23,5,1,0.0,177.0,-2.0,0.0,0.0,-13.009999999999991,-654.8100000000004,0.0,731620.0,362.0,8.333333333333334,14.433756729740644,8584.666666666666,7326.820752095232,47.39666666666667,26.276187572274125,4266.983333333334,3502.8046062024832,176.0,290.9845356715714,122729457.33333333,106287453.88605484,1268.6666666666667,494.4667161026446,0.004308300395256918,0.46137099899248235,18445999.4
4,2026-03-28 23:32:20,deweloper,MSSQLSERVER,0.0,12920.0,10,0,0,55.53,5952.31,8.0,184460192.0,1187,23,5,1,0.0,17.0,0.0,0.0,0.0,-0.060000000000002274,-0.7599999999993088,0.0,198.0,3.0,0.0,0.0,12849.666666666666,107.43525181866897,59.906666666666666,7.528707281687414,6171.086666666667,378.274313737179,8.0,0.0,184216186.66666666,422458.1732234981,1064.3333333333333,209.87218332435904,0.004297987616099072,0.46070510835913314,18446019.2
5,2026-03-28 23:32:22,deweloper,MSSQLSERVER,0.0,12937.0,10,0,0,55.52,5951.8,8.0,184465203.0,1189,23,5,1,0.0,17.0,0.0,0.0,0.0,-0.00999999999999801,-0.5100000000002183,0.0,5011.0,2.0,0.0,0.0,12920.0,17.000000000221704,55.546666666666674,0.037859388969674126,5952.393333333333,0.6390878921828367,8.0,0.0,184461796.33333334,2951.9207880192316,1186.6666666666667,2.516611478420613,0.0042915668238386025,0.4600602921852052,18446520.3
6,2026-03-28 23:32:24,deweloper,MSSQLSERVER,0.0,12954.0,10,0,0,55.5,5951.45,8.0,184465205.0,1191,23,5,1,0.0,17.0,0.0,0.0,0.0,-0.020000000000003126,-0.3500000000003638,0.0,2.0,2.0,0.0,0.0,12937.0,17.000000000221704,55.51666666666667,0.015275252310742685,5951.853333333333,0.432473506628193,8.0,0.0,184463533.33333334,2893.6800684792706,1189.0,1.9999999999962246,0.00428439092172302,0.4594295198394318,18446520.5
7,2026-03-28 23:32:25,deweloper,MSSQLSERVER,0.0,12971.0,10,0,0,55.48,5951.18,8.0,184465206.0,1192,23,5,1,0.0,17.0,0.0,0.0,0.0,-0.020000000000003126,-0.26999999999952706,0.0,1.0,1.0,0.0,0.0,12954.0,17.000000000221704,55.5,0.019999999995588325,5951.4766666666665,0.3108590258219136,8.0,0.0,184465204.66666666,2.082952066740574,1190.6666666666667,1.5275252316469787,0.0042772338293115405,0.45880656849895923,18446520.6
8,2026-03-28 23:32:27,deweloper,MSSQLSERVER,2.5,12988.0,10,0,0,55.47,5950.97,8.0,184470221.0,1194,23,5,1,2.5,17.0,0.0,0.0,0.0,-0.00999999999999801,-0.21000000000003638,0.0,5015.0,2.0,0.8333333333333334,1.4433756729740643,12971.0,17.000000000221704,55.48333333333333,0.015275252310736481,5951.200000000001,0.24062418955973028,8.0,0.0,184466877.33333334,2895.700664548118,1192.3333333333333,1.5275252316469787,0.004270865414228518,0.4581898675700647,18447022.1
9,2026-03-28 23:32:28,deweloper,MSSQLSERVER,0.0,13005.0,10,0,0,54.7,5868.24,8.0,184470227.0,1195,23,5,1,-2.5,17.0,0.0,0.0,0.0,-0.769999999999996,-82.73000000000047,0.0,6.0,1.0,0.8333333333333334,1.4433756729740643,12988.0,17.000000000221704,55.21666666666666,0.4474743940530578,5923.463333333333,47.82492481263234,8.0,0.0,184468551.33333334,2897.145550130243,1193.6666666666667,1.5275252316469787,0.004206074586697424,0.4512295271049596,18447022.7
10,2026-03-28 23:32:30,deweloper,MSSQLSERVER,0.0,13022.0,10,0,0,54.69,5868.11,8.0,184470228.0,1197,23,5,1,0.0,17.0,0.0,0.0,0.0,-0.010000000000005116,-0.13000000000010914,0.0,1.0,2.0,0.8333333333333334,1.4433756729740643,13005.0,17.000000000221704,54.95333333333334,0.44747439405305517,5895.7733333333335,47.80175973051522,8.0,0.0,184470225.33333334,4.042105209344606,1195.3333333333333,1.5275252316469787,0.004199815696513592,0.4506304715097527,18447022.8
11,2026-03-28 23:32:31,deweloper,MSSQLSERVER,0.0,13039.0,10,0,0,54.68,5868.0,8.0,184470238.0,1198,23,5,1,0.0,17.0,0.0,0.0,0.0,-0.00999999999999801,-0.10999999999967258,0.0,10.0,1.0,0.0,0.0,13022.0,17.000000000221704,54.69,0.00999999999058279,5868.116666666666,0.1201388107147046,8.0,0.0,184470231.0,6.245420815108588,1196.6666666666667,1.5275252316469787,0.004193573126773526,0.4500345118490682,18447023.8
12,2026-03-28 23:32:32,deweloper,MSSQLSERVER,0.0,13056.0,10,0,0,54.68,5867.9,8.0,184475240.0,1199,23,5,1,0.0,17.0,0.0,0.0,0.0,0.0,-0.1000000000003638,0.0,5002.0,1.0,0.0,0.0,13039.0,17.000000000221704,54.68333333333334,0.005773502675577214,5868.003333333334,0.10503967745423555,8.0,0.0,184471902.0,2890.797468741309,1198.0,0.9999999999923639,0.00418811274509804,0.4494408700980392,18447524.0
13,2026-03-28 23:32:34,deweloper,MSSQLSERVER,0.0,13073.0,10,0,0,54.67,5867.82,8.0,184475242.0,1201,23,5,1,0.0,17.0,0.0,0.0,0.0,-0.00999999999999801,-0.07999999999992724,0.0,2.0,2.0,0.0,0.0,13056.0,17.000000000221704,54.67666666666667,0.005773502691896135,5867.906666666667,0.09018499786280827,8.0,0.0,184473573.33333334,2888.4839169713337,1199.3333333333333,1.5275252316469787,0.004181901629312324,0.44885030214946836,18447524.2
14,2026-03-28 23:34:25,deweloper,MSSQLSERVER,0.0,13202.0,8,0,0,54.67,5348.2,8.0,184708161.0,1312,23,5,1,0.0,129.0,-2.0,0.0,0.0,0.0,-519.6199999999999,0.0,232919.0,111.0,0.0,0.0,13110.333333333334,79.83942217564471,54.673333333333325,0.005773502691898699,5694.639999999999,300.02584355351826,8.0,0.0,184552881.0,134476.4247108215,1237.3333333333333,64.67096205665509,0.004141039236479321,0.4051052870777155,23088520.125
15,2026-03-28 23:34:28,deweloper,MSSQLSERVER,0.0,13219.0,8,0,0,54.67,5348.15,8.0,184713350.0,1315,23,5,1,0.0,17.0,0.0,0.0,0.0,0.0,-0.0500000000001819,0.0,5189.0,3.0,0.0,0.0,13164.666666666666,79.83942217564471,54.67,9.424249928632102e-09,5521.389999999999,300.01718167465026,8.0,0.0,184632251.0,135998.53305460777,1276.0,64.96922348312307,0.004135713745366518,0.40458052802783867,23089168.75
16,2026-03-29 00:13:44,deweloper,MSSQLSERVER,0.0,13819.0,6,0,0,7.46,232.8,8.0,189490256.0,3672,0,6,1,0.0,600.0,-2.0,0.0,0.0,-47.21,-5115.349999999999,0.0,4776906.0,2357.0,0.0,0.0,13413.333333333334,351.42045093212874,38.93333333333333,27.256706208442242,3643.0499999999997,2953.3631333616927,8.0,0.0,186303922.33333334,2759447.1199739114,2099.6666666666665,1361.6814360684123,0.0005398364570518851,0.01684637093856285,31581709.333333332
17,2026-03-29 00:14:45,deweloper,MSSQLSERVER,0.0,13836.0,5,0,0,7.75,232.8,8.0,189611804.0,3732,0,6,1,0.0,17.0,-1.0,0.0,0.0,0.29000000000000004,0.0,0.0,121548.0,60.0,0.0,0.0,13624.666666666666,351.42045093212874,23.293333333333333,27.17337728979109,1937.9166666666667,2953.348699499151,8.0,0.0,187938470.0,2793696.9663651725,2906.3333333333335,1378.4615821027924,0.0005601329864122578,0.016825672159583697,37922360.8
18,2026-03-29 00:15:46,deweloper,MSSQLSERVER,0.0,13853.0,5,0,0,8.15,232.8,8.0,189732044.0,3793,0,6,1,0.0,17.0,0.0,0.0,0.0,0.40000000000000036,0.0,0.0,120240.0,61.0,0.0,0.0,13836.0,17.000000000221704,7.786666666666666,0.3464582706974989,232.8,0.0,8.0,0.0,189611368.0,120894.58966375935,3732.3333333333335,60.50068870131419,0.0005883202194470512,0.016805024182487548,37946408.8
19,2026-03-29 00:16:47,deweloper,MSSQLSERVER,0.0,13876.0,5,0,0,15.42,283.38,8.0,189857448.0,3853,0,6,1,0.0,23.0,0.0,0.0,0.0,7.27,50.579999999999984,0.0,125404.0,60.0,0.0,0.0,13855.0,20.074859900072475,10.44,4.317441371924035,249.66,29.202376615611268,8.0,0.0,189733765.33333334,122831.0462680391,3792.6666666666665,60.50068870131419,0.0011112712597290285,0.020422311905448257,37971489.6
20,2026-03-29 00:17:47,deweloper,MSSQLSERVER,0.0,13893.0,5,0,0,7.86,232.8,8.0,189977680.0,3914,0,6,1,0.0,17.0,0.0,0.0,0.0,-7.56,-50.579999999999984,0.0,120232.0,61.0,0.0,0.0,13874.0,20.074859900072475,10.476666666666667,4.283507130066977,249.66,29.202376615611268,8.0,0.0,189855724.0,122827.07461291636,3853.3333333333335,60.50068870131419,0.0005657525372489744,0.016756640034549772,37995536.0
21,2026-03-29 00:18:48,deweloper,MSSQLSERVER,0.0,13910.0,5,0,0,7.95,232.8,8.0,190097934.0,3975,0,6,1,0.0,17.0,0.0,0.0,0.0,0.08999999999999986,0.0,0.0,120254.0,61.0,0.0,0.0,13893.0,17.000000000221704,10.41,4.3390206268236735,249.66,29.202376615611268,8.0,0.0,189977687.33333334,120243.00017589115,3914.0,60.999999999999886,0.0005715312724658519,0.016736161035226457,38019586.8
22,2026-03-29 00:19:49,deweloper,MSSQLSERVER,0.0,13927.0,5,0,0,7.76,232.8,8.0,190218271.0,4035,0,6,1,0.0,17.0,0.0,0.0,0.0,-0.1900000000000004,0.0,0.0,120337.0,60.0,0.0,0.0,13910.0,17.000000000221704,7.8566666666666665,0.0950438495364414,232.8,0.0,8.0,0.0,190097961.66666666,120295.50239430966,3974.6666666666665,60.50068870131419,0.0005571910677102032,0.016715732031306097,38043654.2
23,2026-03-29 00:20:50,deweloper,MSSQLSERVER,0.0,13944.0,5,0,0,7.86,232.8,8.0,190338613.0,4097,0,6,1,0.0,17.0,0.0,0.0,0.0,0.10000000000000053,0.0,0.0,120342.0,62.0,0.0,0.0,13927.0,17.000000000221704,7.8566666666666665,0.0950438495364414,232.8,0.0,8.0,0.0,190218272.66666666,120339.50001683219,4035.6666666666665,61.0027321792503,0.0005636833046471601,0.016695352839931153,38067722.6
24,2026-03-29 00:21:52,deweloper,MSSQLSERVER,0.0,13965.0,5,0,0,24.15,232.8,8.0,190462866.0,4159,0,6,1,0.0,21.0,0.0,0.0,0.0,16.29,0.0,0.0,124253.0,62.0,0.0,0.0,13945.333333333334,19.035055380556745,13.256666666666666,9.434035898454836,232.8,0.0,8.0,0.0,190339916.66666666,122302.7112058558,4097.0,62.00000000000011,0.0017293233082706766,0.016670247046186897,38092573.2
25,2026-03-29 00:22:53,deweloper,MSSQLSERVER,0.0,13982.0,5,0,0,7.76,232.8,8.0,190583938.0,4220,0,6,1,0.0,17.0,0.0,0.0,0.0,-16.39,0.0,0.0,121072.0,61.0,0.0,0.0,13963.666666666666,19.035055380556745,13.256666666666666,9.434035898454836,232.8,0.0,8.0,0.0,190461805.66666666,122665.93715577599,4158.666666666667,61.50067750304327,0.0005549992847947361,0.016649978543842082,38116787.6
26,2026-03-29 00:23:54,deweloper,MSSQLSERVER,0.0,13999.0,5,0,0,6.6,16.2,8.0,190704160.0,4281,0,6,1,0.0,17.0,0.0,0.0,0.0,-1.1600000000000001,-216.60000000000002,0.0,120222.0,61.0,0.0,0.0,13982.0,17.000000000221704,12.836666666666664,9.814786463970297,160.6,125.05406830647297,8.0,0.0,190583654.66666666,120647.24953063206,4220.0,60.99999999999988,0.0004714622473033788,0.0011572255161082935,38140832.0
27,2026-03-29 00:24:55,deweloper,MSSQLSERVER,0.0,14016.0,5,0,0,71.1,232.8,8.0,190825611.0,4343,0,6,1,0.0,17.0,0.0,0.0,0.0,64.5,216.60000000000002,0.0,121451.0,62.0,0.0,0.0,13999.0,17.000000000221704,28.48666666666666,36.908786668398264,160.6,125.05406830647296,8.0,0.0,190704569.66666666,120837.02083512486,4281.333333333333,61.50067750304327,0.00507277397260274,0.01660958904109589,38165122.2
